difficulty,question,pronunciation,answers,correct
필수기초단어,後ろ,うしろ,"① 뒤\n② 뒤쪽,그늘\n③ 등","① 뒤\n② 뒤쪽,그늘\n③ 등"
필수기초단어,薄い,うすい,"① 얇다\n② 산뜻하다,담백하다","① 얇다\n② 산뜻하다,담백하다"
필수기초단어,嘘,うそ,"① 거짓말\n② 틀림,잘못","① 거짓말\n② 틀림,잘못"
필수기초단어,歌,うた,"① 노래\n② 단가","① 노래\n② 단가"
필수기초단어,うたう·歌う,うたう,"① 노래 부르다\n② 시가를 읊다\n③ 새가 지저귀다","① 노래 부르다\n② 시가를 읊다\n③ 새가 지저귀다"
필수기초단어,疑う,うたがう,"① 의심하다\n② 혐의를 두다","① 의심하다\n② 혐의를 두다"
필수기초단어,内,うち,"① 안,내부\n② 옥내\n③ 마음속","① 안,내부\n② 옥내\n③ 마음속"
필수기초단어,打つ,うつ,"① 치다\n② 때리다,두드리다\n③ (맥박 등이)뛰다","① 치다\n② 때리다,두드리다\n③ (맥박 등이)뛰다"
필수기초단어,美しい,うつくしい,"① 아름답다\n② 곱다,예쁘다","① 아름답다\n② 곱다,예쁘다"
필수기초단어,写す,うつす,"① 베끼다\n② 그리다,묘사하다\n③ 촬영하다","① 베끼다\n② 그리다,묘사하다\n③ 촬영하다"
필수기초단어,移る,うつる,"① 옮기다,이동하다","① 옮기다,이동하다"
필수기초단어,腕,うで,"① 팔\n② 완력\n③ 솜씨,실력","① 팔\n② 완력\n③ 솜씨,실력"
필수기초단어,旨い·甘い·美味い,うまい,"① 맛있다","① 맛있다"
필수기초단어,生(ま)れる·産(ま)れる,うまれる,"① 태어나다,출생하다\n② 없던 것이 새로 생기다","① 태어나다,출생하다\n② 없던 것이 새로 생기다"
필수기초단어,海,うみ,"① 바다\n② 호수","① 바다\n② 호수"
필수기초단어,生む·産む,うむ,"① 낳다\n② 만들어 내다","① 낳다\n② 만들어 내다"
필수기초단어,裏,うら,"① 뒤,뒷면","① 뒤,뒷면"
필수기초단어,売る,うる,"① 팔다\n② 이익을 위해 배반하다","① 팔다\n② 이익을 위해 배반하다"
필수기초단어,煩い·五月蠅い,うるさい,"① 시끄럽다,번거롭다","① 시끄럽다,번거롭다"
필수기초단어,嬉しい,うれしい,"① 즐겁고 기쁘다\n② 고맙다,감사하다","① 즐겁고 기쁘다\n② 고맙다,감사하다"
필수기초단어,運転,うんてん,"① 운전","① 운전"
필수기초단어,運動場,うんどうじょう,"① 운동장 (=동의어グラウンド)","① 운동장 (=동의어グラウンド)"
필수기초단어,絵·画,え,"① 그림","① 그림"
필수기초단어,映画,えいが,"① 영화 (=동의어シネマ)","① 영화 (=동의어シネマ)"
필수기초단어,駅,えき,"① 역,정거장","① 역,정거장"
필수기초단어,選ぶ·択ぶ,えらぶ,"① 고르다\n② 뽑다,가리다\n③ 택하다","① 고르다\n② 뽑다,가리다\n③ 택하다"
필수기초단어,円,えん,"① 둥긂,둥근 것\n② 엔","① 둥긂,둥근 것\n② 엔"
필수기초단어,鉛筆,えんぴつ,"① 연필","① 연필"
필수기초단어,遠慮,えんりょ,"① 사양\n② 겸손","① 사양\n② 겸손"
필수기초단어,美味しい,おいしい,"① 맛있다\n② 형편이 좋다,이익이 되다","① 맛있다\n② 형편이 좋다,이익이 되다"
필수기초단어,多い,おおい,"① 많다","① 많다"
필수기초단어,大きい,おおきい,"① 크다\n② 많다","① 크다\n② 많다"
필수기초단어,大ぜい·大勢,おおぜい,"① 많은 사람,여럿","① 많은 사람,여럿"
필수기초단어,おかげ·お陰·御蔭·御陰,おかげ,"① 덕택,덕분\n② 탓,때문","① 덕택,덕분\n② 탓,때문"
필수기초단어,可笑しい,おかしい,"① 우습다,우스꽝스럽다\n② 이상하다","① 우습다,우스꽝스럽다\n② 이상하다"
필수기초단어,起きる,おきる,"①  (사건이) 일어나다\n② 기상하다","①  (사건이) 일어나다\n② 기상하다"
필수기초단어,置く,おく,"① 두다\n② 놓다","① 두다\n② 놓다"
필수기초단어,送る,おくる,"① 보내다\n② 부치다","① 보내다\n② 부치다"
필수기초단어,遅れる,おくれる,"① 늦다\n② 더디다","① 늦다\n② 더디다"
필수기초단어,起(こ)す,おこす,"① 일으키다\n② 벌이다,시작하다","① 일으키다\n② 벌이다,시작하다"
필수기초단어,行(な)う,おこなう,"① 시행하다","① 시행하다"
필수기초단어,怒る,おこる,"① 성내다,화내다\n② 꾸짖다","① 성내다,화내다\n② 꾸짖다"
필수기초단어,教える,おしえる,"① 가르치다","① 가르치다"
필수기초단어,押す,おす,"① 밀다\n② 누르다","① 밀다\n② 누르다"
필수기초단어,遅い,おそい,"① 늦다\n② 느리다,더디다","① 늦다\n② 느리다,더디다"
필수기초단어,恐れる,おそれる,"① 두려워하다\n② 겁내다,무서워하다\n③ 걱정하다,우려하다","① 두려워하다\n② 겁내다,무서워하다\n③ 걱정하다,우려하다"
필수기초단어,お茶,おちゃ,"① 차\n② 일하는 도중에 잠깐 쉼","① 차\n② 일하는 도중에 잠깐 쉼"
필수기초단어,落ちる·墜ちる,おちる,"① 떨어지다,하락하다","① 떨어지다,하락하다"
필수기초단어,仰る·仰有る,おっしゃる,"① 말씀하시다","① 말씀하시다"
필수기초단어,夫·良人,おっと,"① 남편","① 남편"
필수기초단어,音,おと,"① 소리\n② 소문,평판","① 소리\n② 소문,평판"
필수기초단어,弟,おとうと,"① 남동생,아우","① 남동생,아우"
필수기초단어,男,おとこ,"① 사나이,남자\n② 대장부","① 사나이,남자\n② 대장부"
필수기초단어,落(と)す,おとす,"① 떨어뜨리다\n② 이동시키다","① 떨어뜨리다\n② 이동시키다"
필수기초단어,一昨日,おととい,"① 그저께","① 그저께"
필수기초단어,大人·乙名,おとな,"① 어른,성인","① 어른,성인"
필수기초단어,驚く·愕く·駭く,おどろく,"① 놀라다,경악하다\n② 문득 깨닫다","① 놀라다,경악하다\n② 문득 깨닫다"
필수기초단어,御中·御腹,おなか,"① 배","① 배"
필수기초단어,覚える,おぼえる,"① 기억하다\n② 느끼다","① 기억하다\n② 느끼다"
필수기초단어,重い,おもい,"① 무겁다","① 무겁다"
필수기초단어,思う,おもう,"① 생각하다\n② 예상하다,헤아리다\n③ 느끼다","① 생각하다\n② 예상하다,헤아리다\n③ 느끼다"
필수기초단어,面白い,おもしろい,"① 우습다,이상하다\n② 재미있다,즐겁다","① 우습다,이상하다\n② 재미있다,즐겁다"
필수기초단어,表,おもて,"① 표면\n② 거죽,겉\n③ 보이는 곳","① 표면\n② 거죽,겉\n③ 보이는 곳"
필수기초단어,主に,おもに,"① 주로, 대부분","① 주로, 대부분"
필수기초단어,親,おや,"① 부모","① 부모"
필수기초단어,泳ぐ·游ぐ,およぐ,"① 헤엄치다\n② 수영을 하다","① 헤엄치다\n② 수영을 하다"
필수기초단어,下りる,おりる,"① 내리다,내려오다\n② 결정·지시가 나오다","① 내리다,내려오다\n② 결정·지시가 나오다"
필수기초단어,終(わ)る,おわる,"① 끝나다\n② 마치다","① 끝나다\n② 마치다"
필수기초단어,音楽,おんがく,"① 음악","① 음악"
필수기초단어,女,おんな,"① 여자","① 여자"
필수기초단어,外国,がいこく,"① 외국","① 외국"
필수기초단어,会社,かいしゃ,"① 회사","① 회사"
필수기초단어,階段,かいだん,"① 계단\n② 단계,순서","① 계단\n② 단계,순서"
필수기초단어,買(い)物,かいもの,"① 산 물건\n② 물건을 삼","① 산 물건\n② 물건을 삼"
필수기초단어,買う,かう,"① 사다,구입하다\n② 자초하다,초래하다","① 사다,구입하다\n② 자초하다,초래하다"
필수기초단어,帰る·回る·還る,かえる,"① 돌아가다,돌아오다\n② 본디 장소로 다시 가다","① 돌아가다,돌아오다\n② 본디 장소로 다시 가다"
필수기초단어,顔,かお,"① 얼굴\n② 표정,기색","① 얼굴\n② 표정,기색"
필수기초단어,科学,かがく,"① 과학","① 과학"
필수기초단어,鍵,かぎ,"① 열쇠 (=동의어キー key)","① 열쇠 (=동의어キー key)"
필수기초단어,書く,かく,"① 쓰다","① 쓰다"
필수기초단어,学生,がくせい,"① 학생 (대학생 이상을 지칭. 중고생은 生徒せいと)","① 학생 (대학생 이상을 지칭. 중고생은 生徒せいと)"
필수기초단어,隠れる,かくれる,"① 숨다","① 숨다"
필수기초단어,掛ける,かける,"① 걸다\n② 늘어뜨리다\n③ 채우다,잠그다","① 걸다\n② 늘어뜨리다\n③ 채우다,잠그다"
필수기초단어,傘,かさ,"① 우산,양산","① 우산,양산"
필수기초단어,菓子,かし,"① 과자","① 과자"
필수기초단어,貸す,かす,"① 빌려 주다\n② 조력하다,도와 주다","① 빌려 주다\n② 조력하다,도와 주다"
필수기초단어,数,かず,"① 수\n② 여러 가지,수가 많음","① 수\n② 여러 가지,수가 많음"
필수기초단어,風,かぜ,"① 바람\n② 형세,형편","① 바람\n② 형세,형편"
필수기초단어,家族,かぞく,"① 가족","① 가족"
필수기초단어,肩,かた,"① 어깨","① 어깨"
필수기초단어,堅い·固い,かたい,"① 단단하다,딱딱하다\n② 견고하다\n③ 엄하다","① 단단하다,딱딱하다\n② 견고하다\n③ 엄하다"
필수기초단어,形,かたち,"① 모양,형상\n② 형식","① 모양,형상\n② 형식"
필수기초단어,勝つ·捷つ,かつ,"① 이기다,승리하다","① 이기다,승리하다"
필수기초단어,学校,がっこう,"① 학교","① 학교"
필수기초단어,家庭,かてい,"① 가정","① 가정"
필수기초단어,仮名·仮字,かな,"① 한자(漢字)의 일부를 따서 만든 일본 특유의 음절 문자(히라가나와 가타카나)","① 한자(漢字)의 일부를 따서 만든 일본 특유의 음절 문자(히라가나와 가타카나)"
필수기초단어,悲しい·哀しい,かなしい,"① 슬프다\n② 애처롭다","① 슬프다\n② 애처롭다"
필수기초단어,必ず,かならず,"① 반드시,꼭  (=동의어きっと)","① 반드시,꼭  (=동의어きっと)"
필수기초단어,可成·可也,かなり,"① 제법,어지간히,상당히","① 제법,어지간히,상당히"
필수기초단어,金·鉄,かね,"① 금속,쇠\n② 금전,돈","① 금속,쇠\n② 금전,돈"
필수기초단어,鞄,かばん,"① 가방","① 가방"
필수기초단어,被る,かぶる,"① 쓰다,뒤집어쓰다","① 쓰다,뒤집어쓰다"
필수기초단어,壁,かべ,"① 벽\n② 장벽,장애","① 벽\n② 장벽,장애"
필수기초단어,我慢,がまん,"① 참음, 자제\n② 용서함","① 참음, 자제\n② 용서함"
필수기초단어,紙,かみ,"① 종이\n② 보","① 종이\n② 보"
필수기초단어,嚙む·咬む·嚼む,かむ,"① 물다,악물다\n② 씹다","① 물다,악물다\n② 씹다"
필수기초단어,通う,かよう,"① 다니다,왕래하다\n② 통하다\n③ 마음이 상통하다","① 다니다,왕래하다\n② 통하다\n③ 마음이 상통하다"
필수기초단어,辛い,からい,"① 맵다\n② 가혹하다,괴롭다","① 맵다\n② 가혹하다,괴롭다"
필수기초단어,体·身体·躰·軀,からだ,"① 몸\n② 육체","① 몸\n② 육체"
필수기초단어,借りる,かりる,"① 빌리다,꾸다","① 빌리다,꾸다"
필수기초단어,軽い,かるい,"① 가볍다","① 가볍다"
필수기초단어,可愛い,かわいい,"① 귀엽다,사랑스럽다","① 귀엽다,사랑스럽다"
필수기초단어,変(わ)る,かわる,"① 변하다,바뀌다","① 변하다,바뀌다"
필수기초단어,考える,かんがえる,"① 생각하다\n② 고안하다,안출하다","① 생각하다\n② 고안하다,안출하다"
필수기초단어,関係,かんけい,"① 관계","① 관계"
필수기초단어,感じ,かんじ,"① 느낌,감각\n② 인상","① 느낌,감각\n② 인상"
필수기초단어,感謝,かんしゃ,"① 감사","① 감사"
필수기초단어,感じる,かんじる,"① 느끼다","① 느끼다"
필수기초단어,完全,かんぜん,"① 완전히,완전함","① 완전히,완전함"
필수기초단어,簡単,かんたん,"① 간단","① 간단"
필수기초단어,頑張る,がんばる,"① 강경히 버티다,우기다\n② 분발하다","① 강경히 버티다,우기다\n② 분발하다"
필수기초단어,気,き,"① 기운\n② 기,기력\n③ 마음","① 기운\n② 기,기력\n③ 마음"
필수기초단어,黄色い,きいろい,"① 노랗다","① 노랗다"
필수기초단어,消える,きえる,"① 꺼지다\n② 사라지다,없어지다","① 꺼지다\n② 사라지다,없어지다"
필수기초단어,機械,きかい,"① 기계","① 기계"
필수기초단어,聞く,きく,"① 듣다\n② 납득하다,알아듣다","① 듣다\n② 납득하다,알아듣다"
필수기초단어,聞(こ)える,きこえる,"① 들리다\n② 이해하다,납득하다","① 들리다\n② 이해하다,납득하다"
필수기초단어,技術,ぎじゅつ,"① 기술","① 기술"
필수기초단어,傷·疵·創·瑕,きず,"① 상처\n② 흠,결점","① 상처\n② 흠,결점"
필수기초단어,季節,きせつ,"① 계절,절기","① 계절,절기"
필수기초단어,基礎,きそ,"① 기초","① 기초"
필수기초단어,規則,きそく,"① 규칙","① 규칙"
필수기초단어,北,きた,"① 북,북쪽","① 북,북쪽"
필수기초단어,期待,きたい,"① 기대","① 기대"
필수기초단어,汚い·穢い,きたない,"① 더럽다\n② 불결하다\n③ 꾀죄죄하다,추레하다","① 더럽다\n② 불결하다\n③ 꾀죄죄하다,추레하다"
필수기초단어,切手,きって,"① 우표\n② 수표,어음","① 우표\n② 수표,어음"
필수기초단어,きっと,きっと,"① 꼭,반드시","① 꼭,반드시"
필수기초단어,切符,きっぷ,"① 티켓,전철표 (=동의어チケット)","① 티켓,전철표 (=동의어チケット)"
필수기초단어,記念,きねん,"① 기념","① 기념"
필수기초단어,昨日,きのう,"① 어제(=동의어昨日)","① 어제(=동의어昨日)"
필수기초단어,希望·冀望,きぼう,"① 희망 (=동의어のぞみ)","① 희망 (=동의어のぞみ)"
필수기초단어,決(ま)る·極る,きまる,"① 결정되다\n② 승부의 판결이 나다","① 결정되다\n② 승부의 판결이 나다"
필수기초단어,義務,ぎむ,"① 의무","① 의무"
필수기초단어,決める·極める·定める,きめる,"① 결정하다","① 결정하다"
필수기초단어,気持(ち),きもち,"① 마음,기분","① 마음,기분"
필수기초단어,着物,きもの,"① 옷,의복\n② 일본 전통 의복 (기모노)","① 옷,의복\n② 일본 전통 의복 (기모노)"
필수기초단어,客,きゃく,"① 손님\n② 여객,나그네","① 손님\n② 여객,나그네"
필수기초단어,吸入,きゅうにゅう,"① 흡입,빨아들임","① 흡입,빨아들임"
필수기초단어,急,きゅう,"① 위급,긴급\n② 갑작스러움\n③ 빠른 모양","① 위급,긴급\n② 갑작스러움\n③ 빠른 모양"
필수기초단어,教育,きょういく,"① 교육\n② 교양,학력","① 교육\n② 교양,학력"
필수기초단어,競技,きょうぎ,"① 경기","① 경기"
필수기초단어,教室,きょうしつ,"① 교실\n② 강습","① 교실\n② 강습"
필수기초단어,兄弟,きょうだい,"① 형제,동기","① 형제,동기"
필수기초단어,去年,きょねん,"① 지난해,작년 (=동의어昨年さくねん)","① 지난해,작년 (=동의어昨年さくねん)"
필수기초단어,嫌い,きらい,"① 싫음,마음에 들지 않음","① 싫음,마음에 들지 않음"
필수기초단어,切る,きる,"① 치다,베다\n② 자르다","① 치다,베다\n② 자르다"
필수기초단어,奇麗·綺麗,きれい,"① 고움,예쁨\n② 깨끗함","① 고움,예쁨\n② 깨끗함"
필수기초단어,記録,きろく,"① 기록","① 기록"
필수기초단어,銀行,ぎんこう,"① 은행","① 은행"
필수기초단어,具合·工合,ぐあい,"① 형편,상태\n② 방식","① 형편,상태\n② 방식"
필수기초단어,空気,くうき,"① 공기\n② 분위기","① 공기\n② 분위기"
필수기초단어,草,くさ,"① 풀","① 풀"
필수기초단어,腐る,くさる,"① 썩다,상하다\n② 타락하다","① 썩다,상하다\n② 타락하다"
필수기초단어,薬,くすり,"① 약\n② 병 치료제","① 약\n② 병 치료제"
필수기초단어,くださる·下さる,くださる,"① 주시다,…하여 주시다","① 주시다,…하여 주시다"
필수기초단어,果物,くだもの,"① 과실,과일 (=동의어フルーツfruit)","① 과실,과일 (=동의어フルーツfruit)"
필수기초단어,口,くち,"① 입\n② 말","① 입\n② 말"
필수기초단어,靴·沓·履,くつ,"① 신,신발","① 신,신발"
필수기초단어,国,くに,"① 나라,국가","① 나라,국가"
필수기초단어,首,くび,"① 목","① 목"
필수기초단어,区別,くべつ,"① 구별","① 구별"
필수기초단어,雲,くも,"① 구름","① 구름"
필수기초단어,曇る,くもる,"① 흐리다,흐려지다\n② 어두워지다,우울해지다","① 흐리다,흐려지다\n② 어두워지다,우울해지다"
필수기초단어,位,くらい,"① 지위,계급\n② 정도,만큼\n③ 품격,품위","① 지위,계급\n② 정도,만큼\n③ 품격,품위"
필수기초단어,暮(ら)す,くらす,"① 하루를 보내다\n② 살다,세월을 보내다","① 하루를 보내다\n② 살다,세월을 보내다"
필수기초단어,比べる·較べる,くらべる,"① 비교하다,대조하다\n② 경쟁하다,경쟁시키다","① 비교하다,대조하다\n② 경쟁하다,경쟁시키다"
필수기초단어,来る,くる,"① 오다\n② 일어나다,생기다","① 오다\n② 일어나다,생기다"
필수기초단어,苦しい,くるしい,"① 괴롭다,고통스럽다","① 괴롭다,고통스럽다"
필수기초단어,車,くるま,"① 차\n② 수레\n③ 바퀴 모양","① 차\n② 수레\n③ 바퀴 모양"
필수기초단어,呉れる,くれる,"① …해주다,주다","① …해주다,주다"
필수기초단어,黒い,くろい,"① 검다,까맣다\n② 볕에 타 있다","① 검다,까맣다\n② 볕에 타 있다"
필수기초단어,苦労,くろう,"① 노고,고생","① 노고,고생"
필수기초단어,詳しい·委しい·精しい·細しい,くわしい,"① 상세하다,소상하다","① 상세하다,소상하다"
필수기초단어,毛,け,"① 털,체모","① 털,체모"
필수기초단어,経験,けいけん,"① 경험","① 경험"
필수기초단어,経済,けいざい,"① 경제의 준말\n② 경제,절약","① 경제의 준말\n② 경제,절약"
필수기초단어,計算,けいさん,"① 계산,셈\n② 예측하다","① 계산,셈\n② 예측하다"
필수기초단어,怪我,けが,"① 상처,부상\n② 잘못,과실","① 상처,부상\n② 잘못,과실"
필수기초단어,今朝,けさ,"① 오늘 아침","① 오늘 아침"
필수기초단어,景色,けしき,"① 경치,풍경","① 경치,풍경"
필수기초단어,消す,けす,"① (불 등을) 끄다\n② 지우다","① (불 등을) 끄다\n② 지우다"
필수기초단어,結果,けっか,"① 결과","① 결과"
필수기초단어,結構,けっこう,"① 제법,꽤\n② 족하다,만족스럽다","① 제법,꽤\n② 족하다,만족스럽다"
필수기초단어,結婚,けっこん,"① 결혼","① 결혼"
필수기초단어,けっして·決して,けっして,"① 결코,절대로","① 결코,절대로"
필수기초단어,蹴る,ける,"① 차다,걷어차다","① 차다,걷어차다"
필수기초단어,原因,げんいん,"① 원인  (↔반의어結果<けっか>결과)","① 원인  (↔반의어結果<けっか>결과)"
필수기초단어,元気,げんき,"① 원기,기력","① 원기,기력"
필수기초단어,健康,けんこう,"① 건강","① 건강"
필수기초단어,建設,けんせつ,"① 건설","① 건설"
필수기초단어,子·児,こ,"① 자식,새끼\n② 아이","① 자식,새끼\n② 아이"
필수기초단어,濃い,こい,"① 짙다,진하다","① 짙다,진하다"
필수기초단어,公園,こうえん,"① 공원","① 공원"
필수기초단어,工業,こうぎょう,"① 공업","① 공업"
필수기초단어,高校生,こうこうせい,"① 고교생,고등학생","① 고교생,고등학생"
필수기초단어,広告,こうこく,"① 광고","① 광고"
필수기초단어,工場,こうじょう,"① 공장","① 공장"
필수기초단어,交通,こうつう,"① 교통","① 교통"
필수기초단어,幸福,こうふく,"① 행복","① 행복"
필수기초단어,声,こえ,"① 소리,목소리","① 소리,목소리"
필수기초단어,超える,こえる,"① 지나가다\n② 기준을 넘다\n③ 보다 낫다","① 지나가다\n② 기준을 넘다\n③ 보다 낫다"
